cell_id	base_cell_id	precursor_cell_id	modification	cell_type	sample_type	primary_site	subtype	vendor	catalog_id	defensibility_assessment
ASC.C	ASC	-666	-666	primary	primary	adipose	normal primary adipocyte stem cells	Sciencell	HPA-v	NEEDS OVERSEER DECISION: ASC.C has the same base_cell_id (ASC), same sample_type (primary adipocyte stem cells), same vendor/catalog (Sciencell HPA-v) as ASC per cell_info. The '.C' suffix appears to denote a different lot or passage. If ASC and ASC.C are from the same commercial source and passage range, sharing data is plausible. However, primary cells show higher donor-to-donor chromatin variability than cell lines -- verify batch identity before implementing.
MNEU.E	MNEU	-666	differentiated from ESC to be motor neurons	differentiated	normal	-666	-666	Harvard University	-666	NOT DEFENSIBLE: MNEU.E is terminally differentiated motor neurons (differentiated from ESC). Motor neuron chromatin is fundamentally distinct from any progenitor state (NPC, ESC, or fibroblast). No parent substitution permissible -- data gap must stand.
NPC.TAK	NPC	NPC	differentiated from iPSC, but not terminally differentiated	differentiated	primary	central nervous system	normal stem fibroblast-derived iPScs	-666	-666	NEEDS OVERSEER DECISION: NPC.TAK shares NPC's differentiation state (iPSC-derived NPC, not terminally differentiated) and base_cell_id=NPC per cell_info. The 'TAK' suffix likely denotes a specific differentiation batch or treatment condition (no LINCS annotation beyond 'differentiated from iPSC, but not terminally differentiated'). If TAK is merely a passage/batch variant with identical protocol, sharing NPC data may be defensible. If it involves a TAK1 inhibitor or other perturbation, chromatin state could differ. DO NOT IMPLEMENT substitution without explicit overseer confirmation of what 'TAK' denotes.
SKL	SKL	-666	-666	primary	primary	muscle	normal primary skeletal muscle cells	LONZA	CC-2561	STANDALONE: SKL itself is an unresolved primary skeletal muscle line (Lonza CC-2561). No parent to inherit from. Search for 'skeletal muscle' or 'myocyte' aliases in databases as alternative matching approach.
SKL.C	SKL	-666	-666	primary	primary	muscle	normal primary skeletal muscle cells	LONZA	CC-2561	NEEDS OVERSEER DECISION: SKL.C has the same base_cell_id (SKL), same sample_type (primary skeletal muscle cells), same vendor/catalog (Lonza CC-2561) as SKL. '.C' suffix likely denotes a different lot or culture condition. Same caveat as ASC.C: primary cell donor variability means chromatin state could differ across lots. Report, do not decide.
NKDBA	NKDBA	-666	hTERT-immortalized normal kidney cells immunoselected for DBA-positivity	cell line	normal	kidney	kidney epithelial	-666	-666	STANDALONE: NKDBA is hTERT-immortalized kidney epithelial cells immunoselected for DBA-lectin positivity. This is a distinct immortalized line with no listed parent. Potentially searchable under 'DBA' or 'kidney epithelial' in Cistrome/EpiMap. No substitution applicable.
NPC.CAS9	NPC	NPC	NPC that were genetically modified to stably express Cas9 protein	differentiated	primary	central nervous system	normal stem fibroblast-derived iPScs	-666	-666	PRE-AUTHORIZED: Cas9 transgene insertion does not alter chromatin accessibility or histone modifications at broad scale. NPC.CAS9 may directly share NPC's resolved data for all 3 marks.
SKB	SKB	-666	-666	primary	normal	muscle	myoblast	Lonza	CC-2580	STANDALONE: SKB is a primary myoblast line (Lonza CC-2580), distinct from SKL (myocytes CC-2561). Different differentiation state; myoblasts and myocytes have distinct chromatin landscapes. No defensible parent substitution. Search for 'myoblast' or 'skeletal muscle myoblast' aliases.
FIBRNPC	FIBRNPC	-666	-666	iPSC	normal	skin	-666	-666	-666	STANDALONE iPSC: FIBRNPC is an iPSC derived from skin fibroblasts. Distinct chromatin state from any differentiated line. No parent substitution applicable.
MCH58	MCH58	-666	immortalized normal	cell line	normal	skin	skin fibroblast	-666	-666	STANDALONE: MCH58 is an immortalized skin fibroblast line with no listed parent or related commercial catalog ID in LINCS cell_info. No substitution applicable. Search under 'fibroblast' may find imputed tracks in EpiMap.
HUES3	HUES3	-666	-666	ESC	normal	-666	-666	-666	-666	STANDALONE ESC: HUES3 is an embryonic stem cell line. Distinct chromatin state. No parent substitution applicable.
